client_id;data_de_desembolso;data_cadastro;tpv_prometido;mcc_;segmento_;cidade_;bairro_;canal_de_vendas_;subcanal_de_vendas_;uf_;regiao_
ea60eb0;07/10/2019;20/07/2018;130000.0;mcc_12;segmento_1;cidade_6;bairro_594;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
540210;26/09/2019;27/03/2018;20000.0;mcc_20;segmento_23;cidade_2;bairro_12;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
a70307b;20/09/2019;03/04/2018;55000.0;mcc_13;segmento_13;cidade_74;bairro_284;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
e1921bd;25/09/2019;02/03/2018;38000.0;mcc_4;segmento_4;cidade_82;bairro_1535;canal_de_vendas_1;subcanal_de_vendas_2;uf_1;regiao_1
54c9428;30/08/2019;02/08/2018;10000.0;mcc_6;segmento_1;cidade_57;bairro_283;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
c704fe1;10/10/2019;16/09/2017;50000.0;mcc_3;segmento_1;cidade_22;bairro_732;canal_de_vendas_1;subcanal_de_vendas_3;uf_1;regiao_1
b7e59f9;07/10/2019;18/02/2016;;mcc_40;segmento_7;cidade_1;bairro_36;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
4d79dbd;05/06/2019;08/05/2018;15000.0;mcc_8;segmento_10;cidade_20;bairro_415;canal_de_vendas_1;subcanal_de_vendas_1;uf_14;regiao_3
f9a2eaa;08/08/2019;29/01/2018;50000.0;mcc_26;segmento_18;cidade_89;bairro_384;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
4281f86;16/08/2019;31/10/2017;40000.0;mcc_8;segmento_10;cidade_2;bairro_5;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
a726e5a;10/09/2019;12/04/2018;8000.0;mcc_32;segmento_5;cidade_166;bairro_1031;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
f6cbc02;30/10/2019;03/08/2016;;mcc_7;segmento_7;cidade_70;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
521e8cb;03/07/2019;04/09/2018;18000.0;mcc_2;segmento_2;cidade_232;bairro_2700;canal_de_vendas_1;subcanal_de_vendas_2;uf_5;regiao_1
113c1c9;31/05/2019;26/02/2018;30000.0;mcc_8;segmento_10;cidade_31;bairro_308;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
c542164;24/06/2019;14/06/2018;15000.0;mcc_8;segmento_10;cidade_7;bairro_368;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
270bb5c;03/06/2019;27/04/2018;20000.0;mcc_2;segmento_2;cidade_1;bairro_956;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
dc7a5bf;22/05/2019;02/07/2018;8000.0;mcc_12;segmento_1;cidade_26;bairro_29;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
c3eb648;16/10/2019;17/11/2017;12000.0;mcc_16;segmento_14;cidade_281;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
beefd14;07/10/2019;21/02/2019;65000.0;mcc_5;segmento_9;cidade_7;bairro_1233;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
b2c864f;28/10/2019;11/12/2017;;mcc_99;segmento_6;cidade_777;;canal_de_vendas_1;subcanal_de_vendas_3;uf_21;regiao_5
866cb42;26/06/2019;13/09/2018;25000.0;mcc_2;segmento_2;cidade_68;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
2a0d0cb;27/03/2019;21/02/2018;20000.0;mcc_9;segmento_11;cidade_75;bairro_380;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
a40781f;15/08/2019;11/07/2017;;mcc_8;segmento_10;cidade_1;bairro_1259;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
e69f1c6;01/04/2019;28/12/2015;124900.0;mcc_25;segmento_18;cidade_390;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
aa719bc;11/09/2019;25/10/2017;;mcc_2;segmento_2;cidade_65;bairro_423;canal_de_vendas_1;subcanal_de_vendas_2;uf_1;regiao_1
68103a3;29/07/2019;31/07/2018;50000.0;mcc_32;segmento_5;cidade_32;bairro_128;canal_de_vendas_1;subcanal_de_vendas_1;uf_16;regiao_3
d74a8d4;21/10/2019;06/10/2017;20000.0;mcc_85;segmento_15;cidade_34;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
8e8b25d;26/09/2019;10/11/2016;;mcc_2;segmento_2;cidade_193;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
4ec723a;01/08/2019;21/12/2017;10000.0;mcc_8;segmento_10;cidade_11;bairro_233;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2
a673c9a;11/09/2019;28/02/2018;10000.0;mcc_62;segmento_6;cidade_36;bairro_744;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
ec9fd24;01/10/2019;27/10/2017;52000.0;mcc_1;segmento_3;cidade_2;bairro_1490;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
b73e9c0;03/10/2019;08/08/2018;;mcc_48;segmento_4;cidade_7;bairro_450;canal_de_vendas_1;subcanal_de_vendas_1;uf_9;regiao_3
f163f05;08/10/2019;16/10/2017;;mcc_49;segmento_8;cidade_445;;canal_de_vendas_1;subcanal_de_vendas_1;uf_5;regiao_1
a652471;20/09/2019;04/09/2018;15000.0;mcc_4;segmento_4;cidade_400;;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2
fe8ed5c;20/09/2019;15/03/2018;;mcc_7;segmento_7;cidade_43;bairro_873;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
d77a038;26/08/2019;31/10/2018;45000.0;mcc_2;segmento_2;cidade_193;bairro_393;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2
bf4c673;20/09/2019;05/09/2018;19000.0;mcc_3;segmento_1;cidade_33;bairro_467;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1
f535ef4;21/10/2019;01/03/2019;2500.0;mcc_7;segmento_7;cidade_515;;canal_de_vendas_1;subcanal_de_vendas_1;uf_8;regiao_3
bc42bc7;02/07/2019;06/08/2018;;mcc_6;segmento_1;cidade_43;bairro_1726;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
07a7223;28/08/2019;12/07/2018;35000.0;mcc_12;segmento_1;cidade_73;bairro_457;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1
