client_id;data_de_desembolso;data_cadastro;tpv_prometido;mcc_;segmento_;cidade_;bairro_;canal_de_vendas_;subcanal_de_vendas_;uf_;regiao_;;;;
6289e9e;31/10/2019;20/03/2019;10000.0;mcc_2;segmento_2;cidade_65;bairro_423;canal_de_vendas_1;subcanal_de_vendas_2;uf_1;regiao_1;;;;
0976a96;25/10/2019;08/12/2017;13000.0;mcc_4;segmento_4;cidade_3;bairro_286;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2;;;;
39b7deb;20/09/2019;03/03/2018;;mcc_1;segmento_3;cidade_4;bairro_19;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4;;;;
355473e;20/09/2019;26/09/2017;60000.0;mcc_11;segmento_8;cidade_67;bairro_2103;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1;;;;
84c5626;25/09/2019;15/05/2018;10000.0;mcc_13;segmento_13;cidade_134;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
284ecc6;30/10/2019;02/08/2018;10500.0;mcc_3;segmento_1;cidade_20;bairro_415;canal_de_vendas_1;subcanal_de_vendas_1;uf_14;regiao_3;;;;
2aaba6c;18/09/2019;14/12/2017;60000.0;mcc_8;segmento_10;cidade_18;bairro_793;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2;;;;
606c833;16/10/2019;13/03/2019;22000.0;mcc_11;segmento_8;cidade_187;bairro_1481;canal_de_vendas_1;subcanal_de_vendas_1;uf_13;regiao_3;;;;
083c795;23/09/2019;03/04/2018;8000.0;mcc_106;segmento_26;cidade_2;bairro_76;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1;;;;
216cb72;21/10/2019;09/09/2018;40000.0;mcc_3;segmento_1;cidade_596;;canal_de_vendas_1;subcanal_de_vendas_3;uf_1;regiao_1;;;;
777b001;20/09/2019;18/08/2018;60000.0;mcc_31;segmento_4;cidade_64;bairro_1606;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2;;;;
194653b;25/09/2019;31/07/2017;;mcc_29;segmento_6;cidade_51;bairro_1;canal_de_vendas_1;subcanal_de_vendas_3;uf_22;regiao_5;;;;
36b017c;23/10/2019;28/03/2019;15000.0;mcc_8;segmento_10;cidade_269;;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2;;;;
5ca175f;26/09/2019;14/03/2018;8000.0;mcc_31;segmento_4;cidade_86;bairro_52;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2;;;;
7c373e4;07/10/2019;05/12/2018;17000.0;mcc_28;segmento_8;cidade_4;bairro_2166;canal_de_vendas_1;subcanal_de_vendas_1;uf_7;regiao_4;;;;
72bc4b8;21/10/2019;11/05/2017;;mcc_9;segmento_11;cidade_1;bairro_16;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
7fc2275;20/09/2019;24/01/2017;;mcc_3;segmento_1;cidade_15;bairro_347;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2;;;;
3c535b9;08/10/2019;24/01/2018;5000.0;mcc_64;segmento_6;cidade_37;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1;;;;
9491203;11/10/2019;22/02/2019;14000.0;mcc_6;segmento_1;cidade_238;bairro_423;canal_de_vendas_1;subcanal_de_vendas_1;uf_25;regiao_5;;;;
4feb40f;25/10/2019;22/03/2019;20000.0;mcc_1;segmento_3;cidade_82;bairro_82;canal_de_vendas_1;subcanal_de_vendas_2;uf_1;regiao_1;;;;
558036a;20/09/2019;13/08/2018;;mcc_48;segmento_4;cidade_3;bairro_10;canal_de_vendas_1;subcanal_de_vendas_1;uf_3;regiao_2;;;;
2c1eee5;28/10/2019;12/12/2018;15000.0;mcc_2;segmento_2;cidade_336;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
57f2c9f;21/10/2019;24/01/2019;10000.0;mcc_17;segmento_20;cidade_2;bairro_96;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1;;;;
3a49b81;28/10/2019;04/07/2018;15000.0;mcc_107;segmento_15;cidade_95;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
708945e;26/09/2019;27/10/2017;;mcc_7;segmento_7;cidade_675;;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
714860d;07/10/2019;17/10/2018;60000.0;mcc_6;segmento_1;cidade_2;bairro_32;canal_de_vendas_1;subcanal_de_vendas_1;uf_2;regiao_1;;;;
7d6b351;02/10/2019;24/01/2019;15000.0;mcc_13;segmento_13;cidade_27;bairro_309;canal_de_vendas_1;subcanal_de_vendas_2;uf_1;regiao_1;;;;
6ae6d16;23/10/2019;26/09/2017;30000.0;mcc_3;segmento_1;cidade_86;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2;;;;
3463c6d;07/10/2019;31/01/2018;;mcc_1;segmento_3;cidade_114;bairro_2384;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
5618047;16/10/2019;14/05/2018;9000.0;mcc_46;segmento_16;cidade_103;bairro_1;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
028c264;16/10/2019;24/05/2017;;mcc_54;segmento_14;cidade_1;bairro_103;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
026c1b3;25/10/2019;08/03/2019;20000.0;mcc_1;segmento_3;cidade_1;bairro_651;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
786581d;28/10/2019;18/04/2019;25000.0;mcc_1;segmento_3;cidade_162;bairro_8;canal_de_vendas_1;subcanal_de_vendas_4;uf_3;regiao_2;;;;
2074943;25/10/2019;27/03/2018;10000.0;mcc_4;segmento_4;cidade_214;;canal_de_vendas_1;subcanal_de_vendas_3;uf_3;regiao_2;;;;
83cca1e;19/09/2019;19/10/2018;20000.0;mcc_1;segmento_3;cidade_71;bairro_491;canal_de_vendas_1;subcanal_de_vendas_1;uf_6;regiao_2;;;;
80cafb5;17/09/2019;11/10/2017;4900.0;mcc_43;segmento_1;cidade_815;;canal_de_vendas_1;subcanal_de_vendas_3;uf_11;regiao_3;;;;
2667e5f;28/10/2019;06/02/2019;5000.0;mcc_6;segmento_1;cidade_58;bairro_362;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
3e51683;26/09/2019;10/08/2018;;mcc_60;segmento_6;cidade_537;bairro_2043;canal_de_vendas_1;subcanal_de_vendas_1;uf_10;regiao_4;;;;
205dcfe;18/09/2019;19/12/2017;;mcc_6;segmento_1;cidade_60;bairro_880;canal_de_vendas_1;subcanal_de_vendas_2;uf_5;regiao_1;;;;
69af399;16/10/2019;28/03/2019;32000.0;mcc_7;segmento_7;cidade_1;bairro_1168;canal_de_vendas_1;subcanal_de_vendas_1;uf_1;regiao_1;;;;
4a6e002;18/09/2019;13/04/2018;17000.0;mcc_2;segmento_2;cidade_127;bairro_2425;canal_de_vendas_1;subcanal_de_vendas_1;uf_4;regiao_2;;;;
