,client_id,data_de_desembolso,data_cadastro,tpv_prometido,mcc,segmento,cidade,bairro,canal_de_vendas,subcanal_de_vendas,uf,regiao
1474,00042ff,16/10/2019,17/04/2018,30000.0,72,5,29,953,1,1,5,1
2239,0018d21,06/09/2019,19/09/2017,,7,7,29,135,1,1,5,1
693,001d658,20/09/2019,20/10/2018,30000.0,1,3,54,1,1,1,2,1
3123,001dadd,05/09/2019,08/11/2018,14000.0,143,4,270,0,1,1,1,1
2667,0023bb5,16/10/2019,25/04/2018,,1,3,117,739,1,1,1,1
263,0028d5e,21/10/2019,20/03/2019,5000.0,40,7,20,413,1,1,14,3
762,002b01a,11/10/2019,13/07/2017,10000.0,35,16,3,385,1,1,3,2
863,0031d29,31/10/2019,30/03/2019,8300.0,7,7,2,0,1,1,2,1
1926,004767f,10/10/2019,12/09/2017,15000.0,39,17,1,158,1,1,1,1
2144,0053e7f,17/10/2019,27/02/2018,,16,14,558,13,1,1,1,1
778,0063da1,02/10/2019,06/06/2018,,57,12,324,0,1,1,1,1
4105,007ae20,30/10/2019,19/07/2018,8000.0,30,8,46,1,1,1,1,1
2115,007bb49,08/10/2019,15/06/2018,5000.0,51,17,7,812,1,1,9,3
1915,008b0a8,11/10/2019,11/01/2018,45000.0,4,4,2,151,1,1,2,1
2265,008e4f2,23/10/2019,09/06/2017,,9,11,1,917,1,1,1,1
2470,0094f89,12/09/2019,09/10/2017,40000.0,3,1,2,9,1,1,2,1
228,0099a43,07/10/2019,12/12/2018,45000.0,4,4,348,0,1,1,6,2
3110,00a12b3,31/10/2019,16/04/2019,20000.0,17,20,23,98,1,1,13,3
436,00a14c1,30/10/2019,19/12/2018,15000.0,16,14,66,412,1,1,20,4
3390,00afc8b,20/09/2019,24/11/2017,35000.0,5,9,88,131,1,1,1,1
3412,00b7378,16/10/2019,10/01/2018,20000.0,1,3,204,0,1,1,4,2
421,00b9ab4,07/10/2019,24/05/2018,20000.0,3,1,9,1239,1,1,6,2
1154,00bafb2,28/10/2019,21/03/2019,,1,3,74,1,1,1,2,1
2388,00bcd0d,15/10/2019,16/08/2017,40000.0,5,9,1,386,1,1,1,1
2878,00cd72a,20/09/2019,25/09/2017,,2,2,27,1044,1,2,1,1
796,00d7990,23/09/2019,14/07/2018,20000.0,16,14,153,2378,1,2,5,1
1941,00d7b02,26/09/2019,25/10/2018,10000.0,7,7,69,52,1,3,1,1
1524,00dcaaf,28/10/2019,28/03/2019,8000.0,6,1,219,0,1,1,1,1
3426,00de358,15/10/2019,12/07/2018,90000.0,3,1,1,68,1,1,1,1
1832,00df326,20/09/2019,10/02/2018,12000.0,17,20,163,1,1,1,1,1
3115,00dfe09,30/10/2019,05/09/2017,33300.0,7,7,9,433,1,1,6,2
2479,00eeee3,02/09/2019,26/01/2018,,4,4,250,0,1,1,2,1
3588,00f983e,31/10/2019,05/10/2017,45400.0,2,2,114,1,1,1,1,1
2305,00fd63e,02/10/2019,07/11/2018,15000.0,2,2,139,0,1,1,3,2
113,01002b8,07/10/2019,29/09/2017,30000.0,23,25,69,1192,1,1,1,1
3548,0101f6b,16/10/2019,27/04/2017,50000.0,4,4,77,832,1,1,4,2
2956,0113f90,07/10/2019,24/09/2018,,69,6,199,1,1,1,2,1
3168,012fb17,09/10/2019,23/08/2018,90000.0,2,2,48,864,1,1,2,1
1755,013512d,02/10/2019,01/02/2019,80000.0,3,1,7,622,1,1,9,3
2608,01388b7,25/09/2019,09/08/2018,,17,20,6,10,1,1,8,3
375,0141fc9,11/10/2019,08/08/2018,,13,13,6,21,1,1,8,3
3299,0148d53,31/10/2019,26/10/2018,15000.0,122,19,129,2761,1,1,15,3
360,0150aa5,23/09/2019,07/12/2018,16000.0,27,19,212,0,1,1,6,2
192,015870b,23/10/2019,19/01/2018,40000.0,3,1,3,37,1,1,3,2
2323,0161d27,21/10/2019,01/02/2018,65000.0,6,1,1,1982,1,1,1,1
3837,01673d6,25/09/2019,29/11/2018,80000.0,22,15,1,219,1,1,1,1
1123,0173ccb,07/10/2019,04/12/2018,11000.0,24,16,241,0,1,1,1,1
2172,01aff61,07/10/2019,21/08/2018,20000.0,48,4,315,0,1,1,1,1
118,01b20df,24/10/2019,03/05/2017,21000.0,4,4,55,369,1,1,1,1
3347,01b6b3e,16/10/2019,14/05/2018,35000.0,13,13,124,1,1,1,9,3
359,01b8101,07/10/2019,19/02/2019,70000.0,2,2,7,289,1,1,9,3
