,client_id,data_de_desembolso_,limite_,juros_am_,retencao_,default_60d,default_mar
2,00042ff,2019-10-16,1100.0,5.69,9.8,0,0
3,0018d21,2019-09-06,11000.0,4.29,21.5,0,0
4,001d658,2019-09-20,18500.0,3.59,13.9,0,0
5,001dadd,2019-09-05,2800.0,6.39,32.4,0,0
6,0023bb5,2019-10-16,11800.0,4.99,21.1,0,0
8,0028d5e,2019-10-21,1900.0,6.39,17.2,0,1
9,002b01a,2019-10-11,6900.0,4.99,16.4,0,0
11,0031d29,2019-10-31,2200.0,6.39,14.7,0,0
14,004767f,2019-10-10,11200.0,4.99,17.5,0,0
17,0053e7f,2019-10-17,4600.0,6.39,21.1,0,0
18,0063da1,2019-10-02,15900.0,4.99,21.0,0,0
19,007ae20,2019-10-30,2000.0,5.69,17.5,0,0
21,007bb49,2019-10-08,4800.0,6.39,12.4,0,0
23,008b0a8,2019-10-11,24400.0,2.89,16.2,0,0
24,008e4f2,2019-10-23,69000.0,1.89,15.8,1,1
25,0094f89,2019-09-12,8300.0,2.89,4.7,0,0
26,0099a43,2019-10-07,23500.0,2.89,17.3,1,0
27,00a12b3,2019-10-31,5100.0,6.39,22.7,0,0
28,00a14c1,2019-10-30,34200.0,3.59,22.9,0,0
29,00afc8b,2019-09-20,13800.0,2.89,9.4,0,0
31,00b7378,2019-10-16,8300.0,5.69,10.3,1,1
32,00b9ab4,2019-10-07,9900.0,4.99,22.0,0,0
33,00bafb2,2019-10-28,5200.0,6.39,21.9,0,1
34,00bcd0d,2019-10-15,6300.0,4.99,16.1,0,1
35,00cd72a,2019-09-20,16600.0,3.59,21.2,0,0
37,00d7990,2019-09-23,23100.0,2.89,16.8,0,0
38,00d7b02,2019-09-26,3900.0,6.39,19.1,0,0
40,00dcaaf,2019-10-28,1900.0,6.39,16.4,0,0
41,00de358,2019-10-15,23500.0,2.89,22.2,1,1
42,00df326,2019-09-20,20100.0,3.59,21.8,0,0
43,00dfe09,2019-10-30,12400.0,5.69,20.5,0,0
44,00eeee3,2019-09-02,16600.0,3.59,37.7,0,0
45,00f983e,2019-10-31,16600.0,4.99,11.9,0,0
47,00fd63e,2019-10-02,8300.0,4.99,27.4,0,1
49,01002b8,2019-10-07,9700.0,3.59,13.3,0,0
50,0101f6b,2019-10-16,64200.0,1.89,20.1,0,1
55,0113f90,2019-10-07,5100.0,6.39,23.8,0,0
