,client_id,data_de_desembolso,limite,juros_am,retencao,default_60d,default_mar,limite_binado
0,00042ff,2019-10-16,1100.0,5.69,9.8,0,0,1
1,0018d21,2019-09-06,11000.0,4.29,21.5,0,0,4
2,001d658,2019-09-20,18500.0,3.59,13.9,0,0,5
3,001dadd,2019-09-05,2800.0,6.39,32.4,0,0,2
4,0023bb5,2019-10-16,11800.0,4.99,21.1,0,0,4
5,0028d5e,2019-10-21,1900.0,6.39,17.2,0,1,1
6,002b01a,2019-10-11,6900.0,4.99,16.4,0,0,3
7,0031d29,2019-10-31,2200.0,6.39,14.7,0,0,2
8,004767f,2019-10-10,11200.0,4.99,17.5,0,0,4
9,0053e7f,2019-10-17,4600.0,6.39,21.1,0,0,3
10,0063da1,2019-10-02,15900.0,4.99,21.0,0,0,4
11,007ae20,2019-10-30,2000.0,5.69,17.5,0,0,2
12,007bb49,2019-10-08,4800.0,6.39,12.4,0,0,3
13,008b0a8,2019-10-11,24400.0,2.89,16.2,0,0,5
14,008e4f2,2019-10-23,69000.0,1.89,15.8,1,1,7
15,0094f89,2019-09-12,8300.0,2.89,4.7,0,0,4
16,0099a43,2019-10-07,23500.0,2.89,17.3,1,0,5
17,00a12b3,2019-10-31,5100.0,6.39,22.7,0,0,3
18,00a14c1,2019-10-30,34200.0,3.59,22.9,0,0,6
19,00afc8b,2019-09-20,13800.0,2.89,9.4,0,0,4
20,00b7378,2019-10-16,8300.0,5.69,10.3,1,1,4
21,00b9ab4,2019-10-07,9900.0,4.99,22.0,0,0,4
22,00bafb2,2019-10-28,5200.0,6.39,21.9,0,1,3
23,00bcd0d,2019-10-15,6300.0,4.99,16.1,0,1,3
24,00cd72a,2019-09-20,16600.0,3.59,21.2,0,0,5
25,00d7990,2019-09-23,23100.0,2.89,16.8,0,0,5
26,00d7b02,2019-09-26,3900.0,6.39,19.1,0,0,2
27,00dcaaf,2019-10-28,1900.0,6.39,16.4,0,0,1
28,00de358,2019-10-15,23500.0,2.89,22.2,1,1,5
29,00df326,2019-09-20,20100.0,3.59,21.8,0,0,5
30,00dfe09,2019-10-30,12400.0,5.69,20.5,0,0,4
31,00eeee3,2019-09-02,16600.0,3.59,37.7,0,0,5
32,00f983e,2019-10-31,16600.0,4.99,11.9,0,0,5
33,00fd63e,2019-10-02,8300.0,4.99,27.4,0,1,4
34,01002b8,2019-10-07,9700.0,3.59,13.3,0,0,4
35,0101f6b,2019-10-16,64200.0,1.89,20.1,0,1,7
36,0113f90,2019-10-07,5100.0,6.39,23.8,0,0,3
37,012fb17,2019-10-09,20700.0,1.89,4.2,0,0,5
38,013512d,2019-10-02,32900.0,3.59,13.4,0,0,6
39,01388b7,2019-09-25,13800.0,4.99,24.6,0,0,4
40,0141fc9,2019-10-11,6400.0,4.99,17.2,0,0,3
41,0148d53,2019-10-31,6500.0,6.39,27.4,0,0,3
42,0150aa5,2019-09-23,9900.0,4.99,17.8,0,0,4
43,015870b,2019-10-23,6900.0,5.69,11.8,1,1,3
44,0161d27,2019-10-21,41400.0,2.49,14.5,1,0,6
45,01673d6,2019-09-25,35500.0,2.89,25.1,1,1,6
46,0173ccb,2019-10-07,13800.0,4.99,24.0,0,0,4
47,01aff61,2019-10-07,20700.0,2.89,11.5,0,0,5
48,01b20df,2019-10-24,11800.0,5.69,34.9,0,0,4
49,01b6b3e,2019-10-16,30400.0,2.89,21.9,0,0,5
50,01b8101,2019-10-07,44200.0,3.59,13.6,0,0,6
51,01b9e86,2019-10-09,22600.0,2.89,19.4,1,1,5
52,01bbfd5,2019-09-23,30800.0,2.89,21.6,1,1,5
53,01c3da5,2019-09-19,4000.0,6.39,27.0,0,0,3
54,01ce685,2019-09-03,19300.0,3.59,27.2,1,1,5
55,01e33de,2019-10-16,6800.0,5.69,17.9,1,0,3
56,01e4376,2019-10-16,57300.0,1.89,20.0,0,0,6
57,01ef9c7,2019-09-23,13500.0,4.99,25.7,1,1,4
58,01f5448,2019-10-01,19900.0,3.59,23.0,0,0,5
59,01f704f,2019-09-26,6000.0,4.99,9.7,0,0,3
60,0201d39,2019-10-25,11000.0,4.99,22.4,0,0,4
61,020c8da,2019-10-07,8800.0,6.39,12.9,1,0,4
