,client_id,data_de_desembolso,data_cadastro,tpv_prometido,mcc,segmento,cidade,bairro,canal_de_vendas,subcanal_de_vendas,uf,regiao,data_de_desembolso_y,limite,juros_am,retencao,default_60d,default_mar,subcanal_de_vendas_ord,segmento_ord,regiao_ord,mcc_ord,uf_ord,canal_de_vendas_ord,bairro_ord,cidade_ord
0,00042ff,16/10/2019,17/04/2018,30000.0,72,5,29,953,1,1,5,1,2019-10-16,1100.0,5.69,9.8,0,0,2,17,3,114,19,1,481,342
1,0018d21,06/09/2019,19/09/2017,20000.0,7,7,29,135,1,1,5,1,2019-09-06,11000.0,4.29,21.5,0,0,2,20,3,101,19,1,1304,342
2,001d658,20/09/2019,20/10/2018,30000.0,1,3,54,1,1,1,2,1,2019-09-20,18500.0,3.59,13.9,0,0,2,10,3,92,14,1,1295,426
3,001dadd,05/09/2019,08/11/2018,14000.0,143,4,270,0,1,1,1,1,2019-09-05,2800.0,6.39,32.4,0,0,2,21,3,144,15,1,1297,500
4,0023bb5,16/10/2019,25/04/2018,20000.0,1,3,117,739,1,1,1,1,2019-10-16,11800.0,4.99,21.1,0,0,2,10,3,92,15,1,368,8
5,0028d5e,21/10/2019,20/03/2019,5000.0,40,7,20,413,1,1,14,3,2019-10-21,1900.0,6.39,17.2,0,1,2,20,5,131,23,1,1494,451
6,002b01a,11/10/2019,13/07/2017,10000.0,35,16,3,385,1,1,3,2,2019-10-11,6900.0,4.99,16.4,0,0,2,11,1,73,8,1,1358,366
7,0031d29,31/10/2019,30/03/2019,8300.0,7,7,2,0,1,1,2,1,2019-10-31,2200.0,6.39,14.7,0,0,2,20,3,101,14,1,1297,385
8,004767f,10/10/2019,12/09/2017,15000.0,39,17,1,158,1,1,1,1,2019-10-10,11200.0,4.99,17.5,0,0,2,1,3,67,15,1,56,405
9,0053e7f,17/10/2019,27/02/2018,20000.0,16,14,558,13,1,1,1,1,2019-10-17,4600.0,6.39,21.1,0,0,2,15,3,88,15,1,1298,198
10,0063da1,02/10/2019,06/06/2018,20000.0,57,12,324,0,1,1,1,1,2019-10-02,15900.0,4.99,21.0,0,0,2,2,3,104,15,1,1297,95
11,007ae20,30/10/2019,19/07/2018,8000.0,30,8,46,1,1,1,1,1,2019-10-30,2000.0,5.69,17.5,0,0,2,4,3,86,15,1,1295,349
12,007bb49,08/10/2019,15/06/2018,5000.0,51,17,7,812,1,1,9,3,2019-10-08,4800.0,6.39,12.4,0,0,2,1,5,48,24,1,1464,449
13,008b0a8,11/10/2019,11/01/2018,45000.0,4,4,2,151,1,1,2,1,2019-10-11,24400.0,2.89,16.2,0,0,2,21,3,108,14,1,51,385
14,008e4f2,23/10/2019,09/06/2017,20000.0,9,11,1,917,1,1,1,1,2019-10-23,69000.0,1.89,15.8,1,1,2,6,3,77,15,1,1466,405
15,0094f89,12/09/2019,09/10/2017,40000.0,3,1,2,9,1,1,2,1,2019-09-12,8300.0,2.89,4.7,0,0,2,14,3,87,14,1,1,385
16,0099a43,07/10/2019,12/12/2018,45000.0,4,4,348,0,1,1,6,2,2019-10-07,23500.0,2.89,17.3,1,0,2,21,1,108,16,1,1297,489
17,00a12b3,31/10/2019,16/04/2019,20000.0,17,20,23,98,1,1,13,3,2019-10-31,5100.0,6.39,22.7,0,0,2,12,5,97,3,1,24,344
18,00a14c1,30/10/2019,19/12/2018,15000.0,16,14,66,412,1,1,20,4,2019-10-30,34200.0,3.59,22.9,0,0,2,15,4,88,22,1,194,454
19,00afc8b,20/09/2019,24/11/2017,35000.0,5,9,88,131,1,1,1,1,2019-09-20,13800.0,2.89,9.4,0,0,2,24,3,113,15,1,41,465
20,00b7378,16/10/2019,10/01/2018,20000.0,1,3,204,0,1,1,4,2,2019-10-16,8300.0,5.69,10.3,1,1,2,10,1,92,7,1,1297,545
21,00b9ab4,07/10/2019,24/05/2018,20000.0,3,1,9,1239,1,1,6,2,2019-10-07,9900.0,4.99,22.0,0,0,2,14,1,87,16,1,586,355
22,00bafb2,28/10/2019,21/03/2019,20000.0,1,3,74,1,1,1,2,1,2019-10-28,5200.0,6.39,21.9,0,1,2,10,3,92,14,1,1295,346
23,00bcd0d,15/10/2019,16/08/2017,40000.0,5,9,1,386,1,1,1,1,2019-10-15,6300.0,4.99,16.1,0,1,2,24,3,113,15,1,1359,405
24,00cd72a,20/09/2019,25/09/2017,20000.0,2,2,27,1044,1,2,1,1,2019-09-20,16600.0,3.59,21.2,0,0,4,13,3,98,15,1,512,354
25,00d7990,23/09/2019,14/07/2018,20000.0,16,14,153,2378,1,2,5,1,2019-09-23,23100.0,2.89,16.8,0,0,4,15,3,88,19,1,933,412
26,00d7b02,26/09/2019,25/10/2018,10000.0,7,7,69,52,1,3,1,1,2019-09-26,3900.0,6.39,19.1,0,0,1,20,3,101,15,1,1284,445
27,00dcaaf,28/10/2019,28/03/2019,8000.0,6,1,219,0,1,1,1,1,2019-10-28,1900.0,6.39,16.4,0,0,2,14,3,78,15,1,1297,375
28,00de358,15/10/2019,12/07/2018,90000.0,3,1,1,68,1,1,1,1,2019-10-15,23500.0,2.89,22.2,1,1,2,14,3,87,15,1,1403,405
29,00df326,20/09/2019,10/02/2018,12000.0,17,20,163,1,1,1,1,1,2019-09-20,20100.0,3.59,21.8,0,0,2,12,3,97,15,1,1295,19
30,00dfe09,30/10/2019,05/09/2017,33300.0,7,7,9,433,1,1,6,2,2019-10-30,12400.0,5.69,20.5,0,0,2,20,1,101,16,1,1391,355
31,00eeee3,02/09/2019,26/01/2018,20000.0,4,4,250,0,1,1,2,1,2019-09-02,16600.0,3.59,37.7,0,0,2,21,3,108,14,1,1297,467
32,00f983e,31/10/2019,05/10/2017,45400.0,2,2,114,1,1,1,1,1,2019-10-31,16600.0,4.99,11.9,0,0,2,13,3,98,15,1,1295,7
