,client_id,mes,total_rav_,margem_rav_,duration_rav_,tipo_rav_,data_de_desembolso_
24,00042ff,2018-10-31,26659.09,2822.36,78.75,1,2019-10-16
25,00042ff,2018-11-30,5001.38,481.4,71.6,1,2019-10-16
26,00042ff,2018-12-31,223.82,7.72,25.67,1,2019-10-16
27,00042ff,2019-01-31,1900.91,112.9,44.18,1,2019-10-16
28,00042ff,2019-03-31,841.48,66.23,58.55,1,2019-10-16
29,00042ff,2019-04-30,674.7,43.12,47.54,1,2019-10-16
30,00042ff,2019-05-31,1480.71,63.61,31.96,1,2019-10-16
31,00042ff,2019-06-30,1546.62,96.74,46.53,1,2019-10-16
32,00042ff,2019-07-31,854.42,40.58,35.33,1,2019-10-16
33,00042ff,2019-08-31,4438.65,146.52,24.56,1,2019-10-16
34,00042ff,2019-09-30,97.13,3.29,25.23,1,2019-10-16
35,0018d21,2018-09-30,1590.08,32.9,11.29,2,2019-09-06
36,0018d21,2018-10-31,7984.55,248.7,16.99,2,2019-09-06
37,0018d21,2018-11-30,4163.24,141.91,18.59,2,2019-09-06
38,0018d21,2019-01-31,5262.25,67.6,7.01,2,2019-09-06
39,0018d21,2019-03-31,3600.54,49.17,7.45,2,2019-09-06
40,0018d21,2019-04-30,5796.3,130.22,12.26,2,2019-09-06
41,0018d21,2019-05-31,5506.65,130.07,12.89,2,2019-09-06
42,0018d21,2019-06-30,6732.39,136.73,11.08,2,2019-09-06
43,0018d21,2019-07-31,7554.34,239.44,17.29,2,2019-09-06
44,0018d21,2019-08-31,8563.3,338.09,21.54,2,2019-09-06
45,001d658,2018-10-31,346.64,9.15,24.56,1,2019-09-20
46,001d658,2018-11-30,2199.11,60.1,25.41,1,2019-09-20
47,001d658,2018-12-31,3847.68,103.87,25.1,1,2019-09-20
48,001d658,2019-01-31,7202.37,194.6,25.12,1,2019-09-20
49,001d658,2019-02-28,3087.07,83.91,25.28,1,2019-09-20
50,001d658,2019-03-31,3761.53,100.61,24.87,1,2019-09-20
51,001d658,2019-04-30,6142.25,186.13,28.18,1,2019-09-20
52,001d658,2019-05-31,7592.67,205.48,25.16,1,2019-09-20
53,001d658,2019-06-30,24456.88,975.22,37.08,1,2019-09-20
54,001d658,2019-07-31,17958.46,566.47,29.33,1,2019-09-20
55,001d658,2019-08-31,9766.95,264.95,25.22,1,2019-09-20
56,001dadd,2018-11-30,1275.87,66.28,28.12,1,2019-09-05
57,001dadd,2018-12-31,1049.54,77.86,40.15,1,2019-09-05
58,001dadd,2019-01-31,3287.41,273.3,44.99,1,2019-09-05
59,001dadd,2019-02-28,339.36,15.68,25.01,1,2019-09-05
60,001dadd,2019-03-31,2622.59,202.73,41.83,1,2019-09-05
61,001dadd,2019-04-30,2107.68,160.45,42.23,1,2019-09-05
62,001dadd,2019-05-31,1704.74,95.38,38.28,1,2019-09-05
63,001dadd,2019-06-30,1003.59,37.98,25.89,1,2019-09-05
64,001dadd,2019-07-31,1292.37,67.35,35.66,1,2019-09-05
65,001dadd,2019-08-31,673.05,25.03,25.44,1,2019-09-05
66,0023bb5,2018-10-31,2879.03,101.41,24.85,1,2019-10-16
67,0023bb5,2018-11-30,2138.59,75.4,24.87,1,2019-10-16
68,0023bb5,2018-12-31,2161.77,76.69,25.03,1,2019-10-16
69,0023bb5,2019-01-31,1554.48,55.67,25.26,1,2019-10-16
70,0023bb5,2019-02-28,2186.98,77.92,25.13,1,2019-10-16
71,0023bb5,2019-03-31,4217.79,280.92,46.98,1,2019-10-16
72,0023bb5,2019-04-30,3932.08,165.15,29.63,1,2019-10-16
73,0023bb5,2019-05-31,2480.09,88.01,25.03,1,2019-10-16
74,0023bb5,2019-06-30,2486.82,89.18,25.3,1,2019-10-16
75,0023bb5,2019-07-31,2636.09,93.02,24.89,1,2019-10-16
76,0023bb5,2019-08-31,1513.31,53.41,24.9,1,2019-10-16
77,0023bb5,2019-09-30,7219.96,914.38,89.34,1,2019-10-16
90,0028d5e,2019-03-31,544.69,17.32,25.11,1,2019-10-21
91,0028d5e,2019-04-30,2079.32,66.24,25.16,1,2019-10-21
92,0028d5e,2019-05-31,2345.03,77.07,25.96,1,2019-10-21
93,0028d5e,2019-06-30,1794.82,57.18,25.16,1,2019-10-21
94,0028d5e,2019-07-31,2182.94,69.94,25.3,1,2019-10-21
95,0028d5e,2019-08-31,2252.45,71.84,25.19,1,2019-10-21
96,0028d5e,2019-09-30,2981.13,175.09,46.39,1,2019-10-21
97,002b01a,2018-10-31,2330.8,131.9,39.03,1,2019-10-11
98,002b01a,2018-11-30,1187.82,45.07,26.31,1,2019-10-11
99,002b01a,2018-12-31,954.93,41.56,30.18,1,2019-10-11
100,002b01a,2019-01-31,888.62,55.05,42.96,1,2019-10-11
101,002b01a,2019-02-28,1426.99,68.0,34.69,1,2019-10-11
102,002b01a,2019-03-31,1357.01,68.09,41.22,1,2019-10-11
103,002b01a,2019-04-30,460.4,15.38,27.45,1,2019-10-11
104,002b01a,2019-05-31,1964.35,92.73,38.78,1,2019-10-11
105,002b01a,2019-06-30,1661.17,63.2,31.26,1,2019-10-11
106,002b01a,2019-07-31,2711.93,113.36,34.34,1,2019-10-11
107,002b01a,2019-08-31,2586.38,109.35,34.74,1,2019-10-11
108,002b01a,2019-09-30,1228.12,42.43,28.38,1,2019-10-11
118,0031d29,2019-04-30,5656.1,250.04,34.92,1,2019-10-31
119,0031d29,2019-05-31,4467.3,298.85,52.84,1,2019-10-31
120,0031d29,2019-06-30,1255.46,40.28,25.34,1,2019-10-31
121,0031d29,2019-07-31,7557.82,563.02,58.84,1,2019-10-31
122,0031d29,2019-08-31,7147.31,798.92,88.29,1,2019-10-31
123,0031d29,2019-09-30,4229.31,317.63,59.32,1,2019-10-31
148,004767f,2018-10-31,4396.09,51.9,7.34,2,2019-10-10
149,004767f,2018-11-30,1752.9,8.08,2.87,2,2019-10-10
150,004767f,2018-12-31,4308.41,56.75,8.19,2,2019-10-10
151,004767f,2019-01-31,12709.05,593.42,29.03,2,2019-10-10
152,004767f,2019-02-28,7757.71,439.01,35.19,2,2019-10-10
153,004767f,2019-03-31,5196.23,298.89,35.77,2,2019-10-10
154,004767f,2019-04-30,6226.49,479.9,47.92,2,2019-10-10
155,004767f,2019-05-31,4268.75,304.49,44.35,2,2019-10-10
156,004767f,2019-07-31,2449.96,24.67,6.26,2,2019-10-10
157,004767f,2019-09-30,1307.43,8.39,3.99,2,2019-10-10
182,0053e7f,2018-10-31,6410.52,421.34,46.36,1,2019-10-17
183,0053e7f,2018-11-30,4264.52,345.92,57.22,1,2019-10-17
184,0053e7f,2018-12-31,2406.19,166.68,48.86,1,2019-10-17
185,0053e7f,2019-01-31,9671.38,729.6,53.22,1,2019-10-17
186,0053e7f,2019-02-28,2732.0,200.87,51.87,1,2019-10-17
187,0053e7f,2019-03-31,5454.02,373.82,48.35,1,2019-10-17
188,0053e7f,2019-04-30,5951.06,436.92,51.79,1,2019-10-17
189,0053e7f,2019-05-31,3863.19,296.49,54.14,1,2019-10-17
190,0053e7f,2019-06-30,2562.09,185.47,51.06,1,2019-10-17
191,0053e7f,2019-07-31,4216.4,278.48,46.59,1,2019-10-17
192,0053e7f,2019-08-31,3860.87,245.17,44.79,1,2019-10-17
193,0053e7f,2019-09-30,2286.25,114.09,35.2,1,2019-10-17
194,0063da1,2018-10-31,5123.77,248.73,34.24,1,2019-10-02
195,0063da1,2018-11-30,10942.29,535.84,34.54,1,2019-10-02
196,0063da1,2018-12-31,5970.91,242.85,28.69,1,2019-10-02
197,0063da1,2019-01-31,10639.82,546.42,36.23,1,2019-10-02
198,0063da1,2019-02-28,8228.81,417.05,35.75,1,2019-10-02
199,0063da1,2019-03-31,6186.18,336.92,38.42,1,2019-10-02
200,0063da1,2019-04-30,8756.08,406.5,32.75,1,2019-10-02
201,0063da1,2019-05-31,9045.03,483.43,37.7,1,2019-10-02
202,0063da1,2019-06-30,9122.1,417.72,32.3,1,2019-10-02
203,0063da1,2019-07-31,9684.2,476.57,34.71,1,2019-10-02
204,0063da1,2019-08-31,14618.62,776.59,37.47,1,2019-10-02
205,0063da1,2019-09-30,12870.63,714.11,39.14,1,2019-10-02
206,007ae20,2018-12-31,1640.19,42.08,13.15,2,2019-10-30
207,007ae20,2019-02-28,1615.71,79.9,25.35,2,2019-10-30
208,007ae20,2019-04-30,967.82,46.84,24.81,2,2019-10-30
209,007ae20,2019-05-31,370.53,12.19,16.87,2,2019-10-30
210,007ae20,2019-06-30,324.73,10.46,18.88,2,2019-10-30
211,007ae20,2019-07-31,549.35,20.09,25.02,1,2019-10-30
212,007ae20,2019-08-31,801.16,39.92,45.28,1,2019-10-30
213,007ae20,2019-09-30,1493.6,78.54,59.76,1,2019-10-30
226,007bb49,2019-01-31,5667.16,259.56,24.15,2,2019-10-08
227,007bb49,2019-02-28,809.78,40.86,45.07,1,2019-10-08
228,007bb49,2019-03-31,549.56,27.47,44.66,1,2019-10-08
229,007bb49,2019-04-30,4513.67,210.02,41.57,1,2019-10-08
230,007bb49,2019-05-31,7397.16,454.0,54.83,1,2019-10-08
231,007bb49,2019-06-30,3634.88,141.25,34.71,1,2019-10-08
232,007bb49,2019-07-31,4399.23,196.31,39.86,1,2019-10-08
233,007bb49,2019-08-31,4252.58,219.59,46.13,1,2019-10-08
234,007bb49,2019-09-30,4968.38,235.54,42.35,1,2019-10-08
246,008b0a8,2018-10-31,8907.56,672.4,51.72,1,2019-10-11
247,008b0a8,2018-11-30,3229.04,99.65,33.23,1,2019-10-11
248,008b0a8,2018-12-31,16609.57,456.7,29.6,1,2019-10-11
249,008b0a8,2019-01-31,1541.11,45.86,32.04,1,2019-10-11
250,008b0a8,2019-02-28,2202.21,95.27,46.58,1,2019-10-11
251,008b0a8,2019-03-31,2907.77,105.48,39.06,1,2019-10-11
252,008b0a8,2019-04-30,7286.46,678.82,100.3,1,2019-10-11
253,008b0a8,2019-05-31,16067.82,683.38,45.79,1,2019-10-11
254,008b0a8,2019-06-30,21979.26,1293.12,63.35,1,2019-10-11
255,008b0a8,2019-07-31,15864.73,776.1,52.67,1,2019-10-11
256,008b0a8,2019-08-31,30236.43,1547.67,55.11,1,2019-10-11
257,008b0a8,2019-09-30,27168.98,1320.72,52.34,1,2019-10-11
258,008e4f2,2018-10-31,848.25,22.7,24.66,1,2019-10-23
259,008e4f2,2018-11-30,5047.6,153.07,27.94,1,2019-10-23
260,008e4f2,2018-12-31,35636.45,1163.0,30.07,1,2019-10-23
261,008e4f2,2019-01-31,21852.42,687.74,29.0,1,2019-10-23
262,008e4f2,2019-02-28,28876.13,926.12,29.55,1,2019-10-23
263,008e4f2,2019-03-31,32589.34,1032.87,29.2,1,2019-10-23
264,008e4f2,2019-04-30,36940.25,1164.75,29.05,1,2019-10-23
265,008e4f2,2019-05-31,29878.66,958.01,29.55,1,2019-10-23
266,008e4f2,2019-06-30,22936.63,688.7,27.67,1,2019-10-23
