,client_id,mes,total_rav,margem_rav,duration_rav,tipo_rav,data_de_desembolso
0,00042ff,2018-10-31,26659.09,2822.36,78.75,1,2019-10-16
1,00042ff,2018-11-30,5001.38,481.4,71.6,1,2019-10-16
2,00042ff,2018-12-31,223.82,7.72,25.67,1,2019-10-16
3,00042ff,2019-01-31,1900.91,112.9,44.18,1,2019-10-16
4,00042ff,2019-03-31,841.48,66.23,58.55,1,2019-10-16
5,00042ff,2019-04-30,674.7,43.12,47.54,1,2019-10-16
6,00042ff,2019-05-31,1480.71,63.61,31.96,1,2019-10-16
7,00042ff,2019-06-30,1546.62,96.74,46.53,1,2019-10-16
8,00042ff,2019-07-31,854.42,40.58,35.33,1,2019-10-16
9,00042ff,2019-08-31,4438.65,146.52,24.56,1,2019-10-16
10,00042ff,2019-09-30,97.13,3.29,25.23,1,2019-10-16
20,0018d21,2019-08-31,8563.3,338.09,21.54,2,2019-09-06
19,0018d21,2019-07-31,7554.34,239.44,17.29,2,2019-09-06
18,0018d21,2019-06-30,6732.39,136.73,11.08,2,2019-09-06
16,0018d21,2019-04-30,5796.3,130.22,12.26,2,2019-09-06
17,0018d21,2019-05-31,5506.65,130.07,12.89,2,2019-09-06
14,0018d21,2019-01-31,5262.25,67.6,7.01,2,2019-09-06
13,0018d21,2018-11-30,4163.24,141.91,18.59,2,2019-09-06
12,0018d21,2018-10-31,7984.55,248.7,16.99,2,2019-09-06
11,0018d21,2018-09-30,1590.08,32.9,11.29,2,2019-09-06
15,0018d21,2019-03-31,3600.54,49.17,7.45,2,2019-09-06
31,001d658,2019-08-31,9766.95,264.95,25.22,1,2019-09-20
30,001d658,2019-07-31,17958.46,566.47,29.33,1,2019-09-20
29,001d658,2019-06-30,24456.88,975.22,37.08,1,2019-09-20
28,001d658,2019-05-31,7592.67,205.48,25.16,1,2019-09-20
27,001d658,2019-04-30,6142.25,186.13,28.18,1,2019-09-20
25,001d658,2019-02-28,3087.07,83.91,25.28,1,2019-09-20
24,001d658,2019-01-31,7202.37,194.6,25.12,1,2019-09-20
23,001d658,2018-12-31,3847.68,103.87,25.1,1,2019-09-20
22,001d658,2018-11-30,2199.11,60.1,25.41,1,2019-09-20
21,001d658,2018-10-31,346.64,9.15,24.56,1,2019-09-20
26,001d658,2019-03-31,3761.53,100.61,24.87,1,2019-09-20
38,001dadd,2019-05-31,1704.74,95.38,38.28,1,2019-09-05
40,001dadd,2019-07-31,1292.37,67.35,35.66,1,2019-09-05
39,001dadd,2019-06-30,1003.59,37.98,25.89,1,2019-09-05
37,001dadd,2019-04-30,2107.68,160.45,42.23,1,2019-09-05
41,001dadd,2019-08-31,673.05,25.03,25.44,1,2019-09-05
35,001dadd,2019-02-28,339.36,15.68,25.01,1,2019-09-05
34,001dadd,2019-01-31,3287.41,273.3,44.99,1,2019-09-05
33,001dadd,2018-12-31,1049.54,77.86,40.15,1,2019-09-05
32,001dadd,2018-11-30,1275.87,66.28,28.12,1,2019-09-05
36,001dadd,2019-03-31,2622.59,202.73,41.83,1,2019-09-05
53,0023bb5,2019-09-30,7219.96,914.38,89.34,1,2019-10-16
52,0023bb5,2019-08-31,1513.31,53.41,24.9,1,2019-10-16
51,0023bb5,2019-07-31,2636.09,93.02,24.89,1,2019-10-16
50,0023bb5,2019-06-30,2486.82,89.18,25.3,1,2019-10-16
49,0023bb5,2019-05-31,2480.09,88.01,25.03,1,2019-10-16
48,0023bb5,2019-04-30,3932.08,165.15,29.63,1,2019-10-16
46,0023bb5,2019-02-28,2186.98,77.92,25.13,1,2019-10-16
45,0023bb5,2019-01-31,1554.48,55.67,25.26,1,2019-10-16
44,0023bb5,2018-12-31,2161.77,76.69,25.03,1,2019-10-16
43,0023bb5,2018-11-30,2138.59,75.4,24.87,1,2019-10-16
42,0023bb5,2018-10-31,2879.03,101.41,24.85,1,2019-10-16
47,0023bb5,2019-03-31,4217.79,280.92,46.98,1,2019-10-16
58,0028d5e,2019-07-31,2182.94,69.94,25.3,1,2019-10-21
59,0028d5e,2019-08-31,2252.45,71.84,25.19,1,2019-10-21
57,0028d5e,2019-06-30,1794.82,57.18,25.16,1,2019-10-21
60,0028d5e,2019-09-30,2981.13,175.09,46.39,1,2019-10-21
55,0028d5e,2019-04-30,2079.32,66.24,25.16,1,2019-10-21
54,0028d5e,2019-03-31,544.69,17.32,25.11,1,2019-10-21
56,0028d5e,2019-05-31,2345.03,77.07,25.96,1,2019-10-21
72,002b01a,2019-09-30,1228.12,42.43,28.38,1,2019-10-11
71,002b01a,2019-08-31,2586.38,109.35,34.74,1,2019-10-11
69,002b01a,2019-06-30,1661.17,63.2,31.26,1,2019-10-11
68,002b01a,2019-05-31,1964.35,92.73,38.78,1,2019-10-11
67,002b01a,2019-04-30,460.4,15.38,27.45,1,2019-10-11
70,002b01a,2019-07-31,2711.93,113.36,34.34,1,2019-10-11
