,client_id,mes,tpv_,margem_tpv_,data_de_desembolso_
24,00042ff,2018-10-31,26346.21,354.84,2019-10-16
25,00042ff,2018-11-30,7577.26,114.35,2019-10-16
26,00042ff,2018-12-31,680.34,11.31,2019-10-16
27,00042ff,2019-01-31,2420.34,31.19,2019-10-16
28,00042ff,2019-02-28,411.51,6.42,2019-10-16
29,00042ff,2019-03-31,2656.11,42.45,2019-10-16
30,00042ff,2019-04-30,974.4,11.31,2019-10-16
31,00042ff,2019-05-31,1932.27,15.62,2019-10-16
32,00042ff,2019-06-30,2015.79,22.76,2019-10-16
33,00042ff,2019-07-31,2248.08,18.32,2019-10-16
34,00042ff,2019-08-31,10187.7,182.91,2019-10-16
35,00042ff,2019-09-30,3449.55,27.97,2019-10-16
36,0018d21,2018-09-30,10071.99,135.91,2019-09-06
37,0018d21,2018-10-31,13108.29,189.15,2019-09-06
38,0018d21,2018-11-30,9069.75,139.32,2019-09-06
39,0018d21,2018-12-31,11610.15,166.4,2019-09-06
40,0018d21,2019-01-31,12084.3,166.83,2019-09-06
41,0018d21,2019-02-28,11845.05,169.71,2019-09-06
42,0018d21,2019-03-31,10037.23,140.64,2019-09-06
43,0018d21,2019-04-30,12762.9,177.87,2019-09-06
44,0018d21,2019-05-31,12641.1,196.59,2019-09-06
45,0018d21,2019-06-30,8586.9,135.13,2019-09-06
46,0018d21,2019-07-31,12704.61,180.69,2019-09-06
47,0018d21,2019-08-31,13132.65,190.06,2019-09-06
48,001d658,2018-10-31,1355.75,9.44,2019-09-20
49,001d658,2018-11-30,7242.26,62.35,2019-09-20
50,001d658,2018-12-31,14260.53,94.76,2019-09-20
51,001d658,2019-01-31,20702.17,145.72,2019-09-20
52,001d658,2019-02-28,8859.71,56.37,2019-09-20
53,001d658,2019-03-31,10746.47,71.52,2019-09-20
54,001d658,2019-04-30,18970.87,142.24,2019-09-20
55,001d658,2019-05-31,25337.53,204.45,2019-09-20
56,001d658,2019-06-30,57094.5,565.6,2019-09-20
57,001d658,2019-07-31,42738.77,366.87,2019-09-20
58,001d658,2019-08-31,30239.84,228.6,2019-09-20
59,001dadd,2018-11-30,1795.96,29.66,2019-09-05
60,001dadd,2018-12-31,2512.06,32.66,2019-09-05
61,001dadd,2019-01-31,3498.01,56.75,2019-09-05
62,001dadd,2019-02-28,1189.64,20.34,2019-09-05
63,001dadd,2019-03-31,3177.44,50.85,2019-09-05
64,001dadd,2019-04-30,3029.34,49.47,2019-09-05
65,001dadd,2019-05-31,2142.29,28.53,2019-09-05
66,001dadd,2019-06-30,1566.0,21.75,2019-09-05
67,001dadd,2019-07-31,1946.19,26.82,2019-09-05
68,001dadd,2019-08-31,2141.07,26.45,2019-09-05
69,0023bb5,2018-10-31,8592.99,112.71,2019-10-16
70,0023bb5,2018-11-30,11029.25,137.23,2019-10-16
71,0023bb5,2018-12-31,10703.7,138.72,2019-10-16
72,0023bb5,2019-01-31,8056.29,95.56,2019-10-16
73,0023bb5,2019-02-28,9054.26,114.62,2019-10-16
74,0023bb5,2019-03-31,13968.33,172.64,2019-10-16
75,0023bb5,2019-04-30,9793.85,129.38,2019-10-16
76,0023bb5,2019-05-31,11514.19,139.4,2019-10-16
77,0023bb5,2019-06-30,13189.81,167.97,2019-10-16
78,0023bb5,2019-07-31,9639.82,117.27,2019-10-16
79,0023bb5,2019-08-31,10316.63,115.85,2019-10-16
80,0023bb5,2019-09-30,16060.59,206.06,2019-10-16
93,0028d5e,2019-03-31,768.21,8.49,2019-10-21
94,0028d5e,2019-04-30,3379.08,40.45,2019-10-21
95,0028d5e,2019-05-31,5241.75,66.59,2019-10-21
96,0028d5e,2019-06-30,4451.79,52.73,2019-10-21
97,0028d5e,2019-07-31,4672.77,58.13,2019-10-21
98,0028d5e,2019-08-31,6297.93,75.99,2019-10-21
99,0028d5e,2019-09-30,5116.47,71.22,2019-10-21
100,002b01a,2018-10-31,7218.5,110.12,2019-10-11
