,client_id,mes,tpv,margem_tpv,data_de_desembolso
0,00042ff,2018-10-31,26346.21,354.84,2019-10-16
11,00042ff,2019-09-30,3449.55,27.97,2019-10-16
10,00042ff,2019-08-31,10187.7,182.91,2019-10-16
9,00042ff,2019-07-31,2248.08,18.32,2019-10-16
7,00042ff,2019-05-31,1932.27,15.62,2019-10-16
6,00042ff,2019-04-30,974.4,11.31,2019-10-16
8,00042ff,2019-06-30,2015.79,22.76,2019-10-16
4,00042ff,2019-02-28,411.51,6.42,2019-10-16
3,00042ff,2019-01-31,2420.34,31.19,2019-10-16
2,00042ff,2018-12-31,680.34,11.31,2019-10-16
1,00042ff,2018-11-30,7577.26,114.35,2019-10-16
5,00042ff,2019-03-31,2656.11,42.45,2019-10-16
20,0018d21,2019-05-31,12641.1,196.59,2019-09-06
23,0018d21,2019-08-31,13132.65,190.06,2019-09-06
22,0018d21,2019-07-31,12704.61,180.69,2019-09-06
21,0018d21,2019-06-30,8586.9,135.13,2019-09-06
18,0018d21,2019-03-31,10037.23,140.64,2019-09-06
19,0018d21,2019-04-30,12762.9,177.87,2019-09-06
16,0018d21,2019-01-31,12084.3,166.83,2019-09-06
15,0018d21,2018-12-31,11610.15,166.4,2019-09-06
14,0018d21,2018-11-30,9069.75,139.32,2019-09-06
13,0018d21,2018-10-31,13108.29,189.15,2019-09-06
12,0018d21,2018-09-30,10071.99,135.91,2019-09-06
17,0018d21,2019-02-28,11845.05,169.71,2019-09-06
34,001d658,2019-08-31,30239.84,228.6,2019-09-20
33,001d658,2019-07-31,42738.77,366.87,2019-09-20
32,001d658,2019-06-30,57094.5,565.6,2019-09-20
31,001d658,2019-05-31,25337.53,204.45,2019-09-20
30,001d658,2019-04-30,18970.87,142.24,2019-09-20
28,001d658,2019-02-28,8859.71,56.37,2019-09-20
27,001d658,2019-01-31,20702.17,145.72,2019-09-20
26,001d658,2018-12-31,14260.53,94.76,2019-09-20
25,001d658,2018-11-30,7242.26,62.35,2019-09-20
24,001d658,2018-10-31,1355.75,9.44,2019-09-20
29,001d658,2019-03-31,10746.47,71.52,2019-09-20
41,001dadd,2019-05-31,2142.29,28.53,2019-09-05
43,001dadd,2019-07-31,1946.19,26.82,2019-09-05
42,001dadd,2019-06-30,1566.0,21.75,2019-09-05
40,001dadd,2019-04-30,3029.34,49.47,2019-09-05
44,001dadd,2019-08-31,2141.07,26.45,2019-09-05
38,001dadd,2019-02-28,1189.64,20.34,2019-09-05
37,001dadd,2019-01-31,3498.01,56.75,2019-09-05
36,001dadd,2018-12-31,2512.06,32.66,2019-09-05
35,001dadd,2018-11-30,1795.96,29.66,2019-09-05
39,001dadd,2019-03-31,3177.44,50.85,2019-09-05
56,0023bb5,2019-09-30,16060.59,206.06,2019-10-16
55,0023bb5,2019-08-31,10316.63,115.85,2019-10-16
53,0023bb5,2019-06-30,13189.81,167.97,2019-10-16
52,0023bb5,2019-05-31,11514.19,139.4,2019-10-16
51,0023bb5,2019-04-30,9793.85,129.38,2019-10-16
54,0023bb5,2019-07-31,9639.82,117.27,2019-10-16
49,0023bb5,2019-02-28,9054.26,114.62,2019-10-16
48,0023bb5,2019-01-31,8056.29,95.56,2019-10-16
47,0023bb5,2018-12-31,10703.7,138.72,2019-10-16
46,0023bb5,2018-11-30,11029.25,137.23,2019-10-16
45,0023bb5,2018-10-31,8592.99,112.71,2019-10-16
50,0023bb5,2019-03-31,13968.33,172.64,2019-10-16
63,0028d5e,2019-09-30,5116.47,71.22,2019-10-21
62,0028d5e,2019-08-31,6297.93,75.99,2019-10-21
61,0028d5e,2019-07-31,4672.77,58.13,2019-10-21
60,0028d5e,2019-06-30,4451.79,52.73,2019-10-21
58,0028d5e,2019-04-30,3379.08,40.45,2019-10-21
57,0028d5e,2019-03-31,768.21,8.49,2019-10-21
59,0028d5e,2019-05-31,5241.75,66.59,2019-10-21
71,002b01a,2019-05-31,8044.8,70.9,2019-10-11
75,002b01a,2019-09-30,8215.45,66.25,2019-10-11
74,002b01a,2019-08-31,7289.39,66.06,2019-10-11
73,002b01a,2019-07-31,8833.0,74.09,2019-10-11
72,002b01a,2019-06-30,10331.98,86.36,2019-10-11
70,002b01a,2019-04-30,5871.46,42.37,2019-10-11
64,002b01a,2018-10-31,7218.5,110.12,2019-10-11
68,002b01a,2019-02-28,8663.68,91.64,2019-10-11
67,002b01a,2019-01-31,3047.59,36.8,2019-10-11
66,002b01a,2018-12-31,7686.08,95.42,2019-10-11
65,002b01a,2018-11-30,8188.58,107.78,2019-10-11
69,002b01a,2019-03-31,6193.06,53.74,2019-10-11
82,0031d29,2019-09-30,5641.95,47.42,2019-10-31
81,0031d29,2019-08-31,9008.85,114.07,2019-10-31
80,0031d29,2019-07-31,11795.02,241.53,2019-10-31
79,0031d29,2019-06-30,2750.07,44.91,2019-10-31
77,0031d29,2019-04-30,4350.0,39.65,2019-10-31
76,0031d29,2019-03-31,1479.0,19.42,2019-10-31
78,0031d29,2019-05-31,4611.0,57.12,2019-10-31
90,004767f,2019-05-31,10596.43,132.5,2019-10-10
94,004767f,2019-09-30,14628.79,183.44,2019-10-10
93,004767f,2019-08-31,11034.21,134.24,2019-10-10
92,004767f,2019-07-31,16607.43,216.27,2019-10-10
